Date,0005.HK,0700.HK,1299.HK,2318.HK,AAPL,AC.PA,AIR.PA,ALV.DE,AMZN,BABA,BRK-A,DAL,DIS,ENI.MI,HYG,IBND,IEF,LQD,MAR,MSFT,SHY,SIX,TIP,VIXY,VOW3.DE,^HSI,^NDX,^STOXX50E
2017-06-22,58.753448486328125,280.22845458984375,55.22918701171875,48.690032958984375,139.96275329589844,39.45216751098633,72.78297424316406,160.6244354248047,1001.2999877929688,142.27000427246094,252620.0,49.188682556152344,99.80319213867188,11.899741172790527,75.87063598632812,32.14094161987305,101.66312408447266,110.0346908569336,100.19158172607422,67.17564392089844,80.44960021972656,52.62796401977539,107.40666961669922,42.20000076293945,127.32848358154297,25674.529296875,5779.8701171875,3555.760009765625
2017-06-23,58.88371276855469,278.8352966308594,55.27729797363281,48.73663330078125,140.58741760253906,39.26231002807617,73.4231185913086,159.70606994628906,1003.739990234375,143.00999450683594,251800.0,49.29114532470703,99.93724822998047,11.83005142211914,76.18158721923828,32.317649841308594,101.6914291381836,110.0892105102539,100.35552215576172,68.08393859863281,80.49722290039062,51.9874267578125,107.49130249023438,41.7599983215332,126.38286590576172,25670.05078125,5803.10986328125,3543.679931640625
2017-06-26,59.187679290771484,282.61676025390625,55.806495666503906,49.48211669921875,140.14532470703125,40.064453125,73.66559600830078,160.3030242919922,993.97998046875,142.72999572753906,251480.0,49.244571685791016,101.09597778320312,11.847474098205566,76.28523254394531,32.376556396484375,101.77632141113281,110.2890625,100.23015594482422,67.43378448486328,80.49722290039062,52.00473403930664,107.66056060791016,40.880001068115234,126.99752044677734,25871.890625,5777.58984375,3561.760009765625
2017-06-27,59.23112106323242,286.5972900390625,55.71028137207031,49.342342376708984,138.1366424560547,39.5423469543457,72.23981475830078,160.11935424804688,976.780029296875,141.52999877929688,251310.0,49.21662902832031,100.94275665283203,11.777782440185547,76.04339599609375,32.484535217285156,101.27635955810547,109.7894058227539,97.43339538574219,66.17173767089844,80.44960021972656,52.3682861328125,107.15277099609375,42.20000076293945,126.80840301513672,25839.990234375,5671.60009765625,3538.320068359375
2017-06-28,59.491661071777344,281.422607421875,55.084861755371094,48.45707321166992,140.1549530029297,39.23383331298828,71.58027648925781,160.11935424804688,990.3300170898438,143.9499969482422,254660.0,50.148048400878906,102.33130645751953,11.812627792358398,76.35430908203125,32.621978759765625,101.18202209472656,109.90751647949219,98.3495864868164,66.73584747314453,80.48766326904297,53.0261344909668,107.23739624023438,41.0,127.0447998046875,25683.5,5753.02978515625,3535.699951171875
2017-06-29,63.22618103027344,282.61676025390625,55.4697380065918,48.690032958984375,138.08860778808594,39.18162155151367,70.04779815673828,158.97137451171875,975.9299926757812,140.80999755859375,253901.0,50.17599868774414,101.23003387451172,11.586132049560547,76.16429901123047,32.7103385925293,100.80469512939453,109.57138061523438,96.64258575439453,65.48335266113281,80.44007873535156,52.31634521484375,106.81425476074219,43.119998931884766,125.7682113647461,25965.419921875,5653.02001953125,3471.330078125
2017-06-30,63.095890045166016,277.8401794433594,54.892425537109375,47.94454574584961,138.41537475585938,38.96328353881836,69.83440399169922,158.3284912109375,968.0,140.89999389648438,254700.0,50.05491638183594,101.74715423583984,11.46417236328125,76.34569549560547,32.65143585205078,100.56885528564453,109.48051452636719,96.7390365600586,65.9040298461914,80.44007873535156,51.59791564941406,106.66378021240234,42.52000045776367,126.09918212890625,25764.580078125,5646.919921875,3441.8798828125
2017-07-03,63.877540588378906,279.4323425292969,54.122676849365234,49.06278610229492,137.91558837890625,38.8114013671875,70.90132141113281,161.54283142089844,953.6599731445312,140.99000549316406,257980.0,50.352970123291016,102.90587615966797,11.603554725646973,76.30838775634766,32.61216735839844,100.19944763183594,109.24370574951172,96.54613494873047,65.1773910522461,80.38005065917969,51.55462646484375,106.46769714355469,43.08000183105469,128.41595458984375,25784.169921875,5596.9599609375,3491.81005859375
2017-07-04,63.660423278808594,267.8888854980469,52.72751235961914,48.36388397216797,138.1991195678711,38.711727142333984,70.90132141113281,162.23159790039062,962.5299987792969,142.93000030517578,257740.0,50.47871208190918,102.02964782714844,11.638400077819824,76.27802276611328,32.53853988647461,100.23724746704102,109.33478546142578,97.05727767944336,65.6124153137207,80.39434051513672,51.11750793457031,106.5478286743164,43.040000915527344,128.79420471191406,25389.009765625,5622.889892578125,3479.469970703125
2017-07-05,63.920955657958984,269.68011474609375,53.401039123535156,50.134429931640625,138.48265075683594,38.616798400878906,71.68695831298828,162.27752685546875,971.4000244140625,144.8699951171875,257500.0,50.604454040527344,101.1534194946289,11.472884178161621,76.2476577758789,32.46491241455078,100.2750473022461,109.42586517333984,97.56842041015625,66.04743957519531,80.40863037109375,50.680389404296875,106.62796020507812,43.0,128.27410888671875,25521.970703125,5648.81982421875,3478.409912109375
2017-07-06,63.70384216308594,270.4761962890625,53.497257232666016,50.64695358276367,137.1755828857422,38.417449951171875,71.90033721923828,162.6907958984375,965.1400146484375,142.1999969482422,255550.0,50.6417121887207,99.70630645751953,11.403193473815918,76.05684661865234,32.57288360595703,100.08609771728516,109.14348602294922,96.10254669189453,65.5598373413086,80.42769622802734,49.92731857299805,106.35456848144531,45.119998931884766,130.5908966064453,25465.220703125,5597.89990234375,3462.06005859375
2017-07-07,63.53014373779297,267.6898498535156,53.256717681884766,50.41398620605469,138.56915283203125,38.19911575317383,71.87124633789062,164.16021728515625,978.760009765625,142.42999267578125,256780.0,51.65696716308594,99.67736053466797,11.289945602416992,75.98743438720703,32.54343032836914,99.92549133300781,109.05241394042969,96.77760314941406,66.4107666015625,80.41815948486328,49.693607330322266,106.02459716796875,43.63999938964844,131.20555114746094,25340.849609375,5656.47021484375,3463.840087890625
2017-07-10,64.78943634033203,270.2771911621094,54.122676849365234,51.0662956237793,139.4148712158203,38.48390197753906,72.12342071533203,165.3081817626953,996.469970703125,143.80999755859375,255400.0,51.05154037475586,99.93785095214844,11.324790000915527,76.07418823242188,32.58271408081055,100.05776977539062,109.23456573486328,97.12479400634766,66.90794372558594,80.4562759399414,49.94463348388672,105.97745513916016,42.52000045776367,131.11099243164062,25500.060546875,5694.14990234375,3478.06005859375
2017-07-11,65.1802749633789,277.0440368652344,55.42162322998047,51.944297790527344,139.86660766601562,38.54085159301758,72.20101928710938,165.21633911132812,994.1300048828125,145.80999755859375,255500.0,50.557891845703125,100.17902374267578,11.29865550994873,76.02214813232422,32.7103385925293,100.19001007080078,109.2801284790039,97.14408111572266,66.91748809814453,80.48487854003906,50.40339279174805,106.31683349609375,42.400001525878906,132.5294189453125,25877.640625,5709.7998046875,3464.47998046875
